calles,engine,tipo_calle,caracteristica_calle,tipo_siniestro,entidad_instructora,tipo_participante,marca_participante,modelo_participante,sexo,rol,causa,lugar_via,tiempo
DON ANSELMO AIETA,postgresql://observatorio:observatorio@10.68.4.100/feu,calle,metrobus,lesiones,pfa,automovil,agrale,10,m,peaton,lesiones,recta,bueno
ACASSUSO,,avenida,ciclovia,homicidio,metropolitana,motocicleta,alfa romeo,100,f,conductor,homicidio,curva,nublado
AEROLINEAS ARGENTINAS,,autopista,carril exclusivo,,gendarmeria,peaton,andino,1000,,pasajero,,interseccion,llovizna
ACEVEDO,,otros,calle de convivencia,,prefectura,transporte de carga,appia,10000,,,,rotonda,lluvia
ARMENIA,,,otros,,same,transporte de pasajeros,aprilia,1001,,,,distribuidor,nieve
"ACEVEDO, EDUARDO",,,,,hospitales,cuatriciclo,arko,1011,,,,paso a nivel ff.cc.,granizo
"IBARBOUROU, JUANA DE",,,,,medios,bicicleta,asia towner,102,,,,puente,
ACONCAGUA,,,,,pfa-same,traccion a sangre,audi,105,,,,otro,
"ACOSTA, MARIANO",,,,,otros,animal,aurora,105 c,,,,,
"ACOSTA, MARIANO AV.",,,,,,objeto fijo,avanti,106,,,,,
ACOYTE,,,,,,maquinaria,avengar,1062,,,,,
ACOYTE AV.,,,,,,otros,aventon,107,,,,,
"ACUÑA DE FIGUEROA, FRANCISCO",,,,,,,baccio,11,,,,,
"ACHA, MARIANO, GRAL.",,,,,,,bajaj,110,,,,,
ACHALA,,,,,,,bajaj rouser,1100,,,,,
ACHAVAL,,,,,,,beach,1100 cc,,,,,
ACHEGA,,,,,,,bedford,1105,,,,,
ACHIRA,,,,,,,benotto,111,,,,,
ACHUPALLAS,,,,,,,bentley,1110,,,,,
AGACES,,,,,,,bera,1112,,,,,
"AGOTE, LUIS DR.",,,,,,,beretta,1113,,,,,
AGOTE PEDRO,,,,,,,betamotor,1114,,,,,
AGRELO,,,,,,,bianchi,112,,,,,
"AGUADO, ALEJANDRO M. DE",,,,,,,bmc,1125,,,,,
AGUARIBAY,,,,,,,bmw,1126,,,,,
AGUAS BUENAS,,,,,,,brava,1128,,,,,
AGUERO,,,,,,,bronco,1130,,,,,
AGUILAR,,,,,,,buell,114,,,,,
AGUIRRE,,,,,,,bugatti,115,,,,,
"AGUIRRE, JULIAN",,,,,,,cagiva,117,,,,,
AIZPURUA,,,,,,,cannondale,1180,,,,,
ALAGON,,,,,,,cerro,12,,,,,
ALBANIA,,,,,,,cerro prince,120,,,,,
ALBARELLOS AV.,,,,,,,chery,1200,,,,,
ALBARIÑO,,,,,,,chevrolet,121,,,,,
ALBARRACIN,,,,,,,chrysler,1214,,,,,
"ALBARRACIN DE SARMIENTO, PAULA",,,,,,,citroen,1215,,,,,
"ALBERDI, JUAN BAUTISTA AV.",,,,,,,clark,1218,,,,,
ALBERTI,,,,,,,corven,122,,,,,
ALCARAZ,,,,,,,corvette,1225,,,,,
"ALCORTA, AMANCIO AV.",,,,,,,crypton,123,,,,,
"ALEM, LEANDRO N. AV.",,,,,,,dacia,124,,,,,
ALEMANIA,,,,,,,dadalt,125,,,,,
ALFARERO,,,,,,,da dalt,1250,,,,,
ALGARROBO,,,,,,,daelim,12525,,,,,
ALICANTE,,,,,,,daewoo,125 2a,,,,,
ALMAFUERTE AV.,,,,,,,dahiatsu,1255,,,,,
ALMAGRO,,,,,,,dancar,1256,,,,,
"ALMEIRA, HILARIO DE",,,,,,,datsun,1258,,,,,
ALPATACAL,,,,,,,dayang,125 cc,,,,,
"ALSINA, ADOLFO",,,,,,,dealim,125 multicarga,,,,,
"ALSINA, VALENTIN AV.",,,,,,,deutz,125 xx,,,,,
ALTA GRACIA,,,,,,,dianonback,126,,,,,
ALTOLAGUIRRE,,,,,,,dimex,127,,,,,
ALVAR NUÑEZ,,,,,,,dodge,1274,,,,,
ALVARADO,,,,,,,dolphin,128,,,,,
"PALACIOS, ALFREDO L.",,,,,,,douglas,13,,,,,
"ALVAREZ, AGUSTIN",,,,,,,ducati,1300,,,,,
"ALVAREZ, CRISOSTOMO",,,,,,,euromot,133,,,,,
"ALVAREZ DE ACEVEDO, TOMAS",,,,,,,famsa,135,,,,,
"ALVAREZ, DONATO, TTE. GRAL.",,,,,,,fazer,135 cc,,,,,
"ALVAREZ, DONATO, TTE. GRAL. AV.",,,,,,,fiat,135 l5,,,,,
COMBATIENTES DE MALVINAS AV.,,,,,,,fiorenza,1400,,,,,
ALVAREZ JONTE,,,,,,,fisher,14000,,,,,
ALVAREZ JONTE AV.,,,,,,,flame,1410,,,,,
"ALVAREZ, JULIAN",,,,,,,folding,1420,,,,,
"ALVAREZ PRADO, MANUEL",,,,,,,ford,145,,,,,
ALVAREZ THOMAS AV.,,,,,,,gama,146,,,,,
ALVEAR,,,,,,,garelli,147,,,,,
ALVEAR AV.,,,,,,,ger,149,,,,,
"ALVEAR, EMILIO, DE",,,,,,,giant,15,,,,,
"ALVEAR, MARCELO T. DE",,,,,,,gilera,150,,,,,
ALZAGA,,,,,,,gm,1500,,,,,
ALLENDE,,,,,,,gmc,1502,,,,,
AMALIA,,,,,,,grove,150 cc,,,,,
AMAMBAY,,,,,,,gt,150 r,,,,,
AMANCAY,,,,,,,gt agressor,1518,,,,,
